Date,China,France,Germany,"Korea, South",US,UnitedKingdom
2020-01-22,0.01945358,0,0,0,0,0
2020-01-23,0.020843121,0,0,0,0,0
2020-01-24,0.025011746,0,0,0,0,0
2020-01-25,0.027096058,0,0,0,0,0
2020-01-26,0.034043765,0,0,0,0,0
2020-01-27,0.040296701,0,0,0,0,0
2020-01-28,0.070171842,0,0,0,0,0
2020-01-29,0.083372485,0,0,0,0,0
2020-01-30,0.093794046,0,0,0,0,0
2020-01-31,0.148680932,0,0,0,0,0
2020-02-01,0.191061945,0,0,0,0,0
2020-02-02,0.321678838,0,0,0,0,0
2020-02-03,0.426589215,0,0,0,0,0
2020-02-04,0.585691707,0,0,0,0,0
2020-02-05,0.77466934,0,0,0,0,0
2020-02-06,1.026176337,0,0,0,0,0
2020-02-07,1.388846647,0,0,0.019504894,0,0
2020-02-08,1.80362476,0,0,0.019504894,0,0
2020-02-09,2.236466912,0,0,0.058514681,0.009063372,0
2020-02-10,2.722111637,0,0,0.058514681,0.009063372,0
2020-02-11,3.220957006,0,0,0.058514681,0.009063372,0
2020-02-12,3.530824742,0.030640301,0,0.136534255,0.009063372,0.014730575
2020-02-13,4.319389496,0.030640301,0.011935461,0.136534255,0.009063372,0.014730575
2020-02-14,5.542185944,0.030640301,0.011935461,0.136534255,0.009063372,0.014730575
2020-02-15,6.45997805,0.061280601,0.011935461,0.175544043,0.009063372,0.014730575
2020-02-16,7.472258973,0.061280601,0.011935461,0.175544043,0.009063372,0.117844603
2020-02-17,8.658232573,0.061280601,0.011935461,0.195048936,0.009063372,0.117844603
2020-02-18,9.869912689,0.061280601,0.143225536,0.234058724,0.009063372,0.117844603
2020-02-19,11.08993005,0.061280601,0.143225536,0.234058724,0.009063372,0.117844603
2020-02-20,12.51559955,0.061280601,0.143225536,0.312078298,0.009063372,0.117844603
2020-02-21,12.99499134,0.061280601,0.167096459,0.312078298,0.015105619,0.117844603
2020-02-22,15.77060032,0.061280601,0.167096459,0.312078298,0.015105619,0.117844603
2020-02-23,16.10964842,0.061280601,0.167096459,0.351088085,0.015105619,0.117844603
2020-02-24,17.37968928,0.061280601,0.167096459,0.351088085,0.015105619,0.117844603
2020-02-25,19.22847414,0.168521653,0.167096459,0.42910766,0.018126743,0.117844603
2020-02-26,20.901482,0.168521653,0.17903192,0.42910766,0.018126743,0.117844603
